name,dividend_yield_ttm,country,earnings_ttm,marketcap,pe_ratio_ttm,revenue_ttm,price,gdp_per_capita_usd,gdp_growth_percent,inflation_percent,interest_rate_percent,unemployment_rate_percent,exchange_rate_to_usd,inflation,interest_rate,unemployment,pc_class
Albemarle,1.909533526777833e-08,United States,-2050008495.0,11149628692.78654,3.38681,9531918984.2,94.86380741316,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Stifel,2.2881804379442828e-08,United States,972645602.9,9303476791.858826,20.3167,5767372569.8,90.75411367244,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Aflac,3.533844831033393e-09,United States,8031580400.0,60175329752.046646,14.4941,24839873500.0,107.45096182046,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
SM Energy,4.8473642388373255e-08,United States,1260247499.2,4371290339.65114,4.46801,3118056594.3,38.20457001148,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Dupont De Nemours,5.838742341906284e-09,United States,453725500.0,36181742322.10207,9.24045,15411329800.0,86.66389715324001,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Strathcona Resources,5.1549926181575016e-08,Canada,1506074697.0,4091537430.278349,0.0,6970608659.8344,19.0982921753284,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
Lowe's Companies,1.421962464482939e-09,United States,13556806700.0,148044199518.68976,26.2675,107389796300.0,260.96555253572,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
BancFirst,6.254977392567528e-08,United States,325932115.3,3361895332.3455963,15.5797,771747454.4,101.80743688504,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Edgewell Personal Care,1.1993404640175908e-07,United States,192481860.0,1752748495.584126,16.0,2901542620.0,35.545929274,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Park-Ohio Holdings,5.187579678898949e-07,United States,63905000.0,404959918.8895508,-178.941,2119473230.0,29.62485393192,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Xperi,5.1387858058074e-07,United States,-114016744.8,408178334.9735156,-0.500548,646792729.8,8.9108288454,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
HireQuest,1.0598344300947895e-06,United States,10339829.0,197830138.97864,17.2118,46182865.4,14.13072421276,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Astec Industries,2.987988652633618e-07,United States,1789340.0,701665876.8607037,40.641,1655139500.0,30.7740100016,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
The Toro Company,2.430350360479064e-08,United States,626818583.0,8618200700.853409,24.0028,5740011005.0,83.98577919424,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Olin,3.79274483841444e-08,United States,439027350.0,5505163552.929328,10.5539,8391109930.0,46.85245636636,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
TransAlta,6.903042464251576e-08,Canada,940758286.0,3020300393.3368483,14.7083,2994756687.1188,10.1046851384684,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
Herc Holdings,4.76606367769934e-08,United States,566198300.0,4363824549.243052,12.9594,4335315200.0,153.68501640356,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
eBay,6.757458064383627e-09,United States,4990980500.0,30735114893.9678,25.7028,13023839000.0,62.85299384504,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Marathon Oil,1.4461443609418816e-08,United States,2360650700.0,14351736265.446115,9.73061,8384336000.0,25.65637004722,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Nike,1.5908661776530115e-09,United States,8066089100.0,130247015689.08092,27.3517,65645772200.0,86.8684079792,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Pet Valu,1.556028477052215e-07,Canada,150794072.3,1328427570.886054,21.0058,1016835618.9932,18.5669535722628,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
Capital One,3.7370044280723514e-09,United States,6885124700.0,55056050283.06824,11.1762,48286618000.0,144.1801323018,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Barnes Group,1.0501791969068308e-07,United States,-18771454.7,1955074133.1073544,83.0,2031412140.0,38.51133625042,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Element Fleet Management,2.4922954454734752e-08,Canada,556054020.3,8235639553.600608,27.2295,2414905572.103,20.4050189671052,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
South Plains Financial,3.86852181298301e-07,United States,74839145.5,529814642.9267664,8.62924,232046723.6,32.3321877232,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Flowserve,3.1242901271610963e-08,United States,397740885.7,6530059062.900862,27.4706,5756903652.7,49.705869319040005,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Wintrust Financial,2.9653585938737163e-08,United States,1088174340.0,6876768813.771476,10.56,2993340874.4,103.40943835506,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Heidrick &amp; Struggles,2.739966968855804e-07,United States,101295815.5,743965789.7960877,13.4839,1376847284.1,36.6171764576,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
TOTVS,6.962065877133045e-08,Brazil,185021590.3,2926292593.25388,32.691,1220407938.6794,4.92007275789188,10.359,1.7,4.83,12.25,6.2,6.18,-4.83,-12.25,-6.2,0
American Eagle Outfitters,4.934646931084768e-08,United States,554646832.2,4128053312.523825,20.5234,6920772187.1,21.49311394732,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
EQB (Equitable Bank),7.15026900635379e-08,Canada,584038019.8,2840099479.0482154,10.9259,1189625940.5528,73.9950358016636,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
The Shyft Group,4.874775258918946e-07,United States,-1630855.6,416168545.6756627,15.3659,1015229338.7,12.0758773424,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
iRadimed,3.314937957064598e-07,United States,30166866.49,611749049.9869655,42.3793,88807258.8391,48.28403214808,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Reinsurance Group of America,1.4579536271513504e-08,United States,1386738500.0,13823906429.300816,13.9463,27084217100.0,209.90601632104,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Vox Royalty,1.3661057249073702e-06,Canada,3852027.247,147385522.02001223,-162.132,15636254.9504,2.92645253338,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
Dundee Precious Metals,1.1446200573810096e-07,Canada,273540240.1,1756201008.3935397,22.1157,610118928.4,9.771722036584,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
The Hartford,6.055201396906973e-09,United States,4837608500.0,33166805550.44558,15.7527,32328261400.0,113.19187286348,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
North American Construction Group,4.085943844292467e-07,Canada,72645414.66,491358941.4118961,9.41448,1035818208.1446,18.28911100728,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
Occidental Petroleum,4.39938042831634e-09,United States,8979930600.0,45544825769.17813,7.97344,34664628200.0,49.71073862442,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Timken Company,3.4683404268482223e-08,United States,769416200.0,5768057802.267016,14.1381,5887567650.0,82.2425678682,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Las Vegas Sands,5.484596805987584e-09,United States,3856027700.0,36468726248.32521,58.0909,14608683000.0,49.5208357146,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Ralph Lauren,1.6944868645347532e-08,United States,1107473650.0,11801679947.215582,24.6587,8495658510.0,190.5359195194,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Berry Global,2.61168987955462e-08,United States,750244700.0,7637652175.380661,12.8268,15650334500.0,66.64618273606,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Becton Dickinson,2.937923949668816e-09,United States,2138261300.0,67729307534.46864,43.5153,25342166800.0,234.323635079588,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Charles Schwab,1.723928786964302e-09,United States,7824528200.0,115086390226.9232,21.3311,23638459500.0,62.9114255096,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Dolby,2.8121480432145084e-08,United States,308378689.9,7032861323.827323,33.0175,1609737553.7,73.76023789624,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Investar Holding,1.0743227863544838e-06,United States,23848067.9,183686544.2178996,8.713,101280478.3,18.68839404844,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
JPMorgan Chase,3.439719461716487e-10,United States,87916664700.0,573683329690.8696,12.5447,217694938700.0,202.03234952158,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Orange County Bancorp,5.967506420396566e-07,United States,56034460.2,330330934.58641,11.0463,136244181.9,58.32453984164,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Southern Missouri Bancorp,3.265538864661423e-07,United States,80659612.9,602138209.8001367,13.616,210027616.8,53.3919334917,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Cognizant Technology Solutions,5.27758617862433e-09,United States,3721827200.0,37165645043.26629,18.6626,24622596500.0,74.98243354662,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Analog Devices,1.762712211016145e-09,United States,2740003561.0,111237506766.32948,31.2736,12398127251.6,224.04647914456,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
SBA Communications,7.843050419636534e-09,United States,703251519.2,24990336516.169327,51.9967,3420076736.7,232.52880911652,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Targa Resources,6.2797904074832234e-09,United States,2123563150.0,31194414827.37469,38.1299,20782545050.0,142.38822792195998,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Grupo Bimbo,1.3506068570705196e-08,Mexico,1605037980.0,14413045193.789948,6.73421,28938369090.884,3.3225120943784403,10.0,2.3,4.4,11.25,2.9,18.5,-4.4,-11.25,-2.9,0
ADTRAN,4.260884650502297e-07,United States,-664686129.8,456792887.7799015,-6.28723,1214161769.4,5.76525756992,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Monarch Casino &amp; Resort,1.3687841265807213e-07,United States,140777602.6,1419792467.8266587,17.4989,653046473.1,76.94476361475999,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Matador Resources,3.2799398197562536e-08,United States,1574453047.0,5920867917.461726,6.94233,4146916869.5,47.43677301196,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Cigna,2.049128165803709e-09,United States,7052555800.0,94357674266.88213,19.4707,276079824800.0,337.53537963622,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Broadridge Financial Solutions,7.98745061921774e-09,United States,1313503370.0,24149558776.10061,37.1982,8316468890.0,206.9211321231,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Service Corporation International,1.7548419859239804e-08,United States,1181928087.4,10966284277.651,24.2632,5287567439.3,75.94168670648,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Richelieu Hardware,1.2204724558759165e-07,Canada,128928337.5,1571433495.9108562,17.4566,1694097597.1279,28.2237600018788,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
Metro,1.4118278374945393e-08,Canada,1182340913.7,13542541407.832212,20.4678,20165444233.2271,60.8344719928148,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
UMB Financial,3.847907136919692e-08,United States,588912693.2,4945615700.391882,13.295,1743644090.7,101.45684689768,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Tractor Supply,6.261138133110105e-09,United States,1859277632.0,30390796010.9932,27.7806,18805039333.7,281.7380092868,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Avery Dennison,1.0919817258897694e-08,United States,1097887900.0,17424469713.07715,37.2077,10985780740.0,216.40166969796,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Haynes International,2.5810296745171465e-07,United States,58585547.8,736590124.3873398,16.4333,785180285.4,57.61362125616,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
HCI Group,1.7417885798900694e-07,United States,291028482.4,1090523337.8668048,-47.8489,903577078.9,104.1300955513,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Boardwalk Real Estate Investment Trust,5.7990609443663686e-08,Canada,642999329.0,3274118815.4687667,7.4316,543782879.952,60.7770141893308,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
Hamilton Beach Brands,4.640817044203398e-07,United States,58156106.2,409060450.5452679,90.7879,824094596.1,29.4349510221,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Patrick Industries,6.101426354207854e-08,United States,255352877.1,3096133288.074832,20.1246,4597806265.6,138.21036390592,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
McCormick & Company,8.745806062539542e-09,United States,1079994500.0,21594318836.88036,34.5394,8542053540.0,80.3922318238,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Unity Bancorp,5.689769463068901e-07,United States,65735239.2,331119933.4575193,8.78757,127701361.5,33.17944685932,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Bank First,2.190173839697959e-07,United States,131294100.6,860122204.8473524,16.5169,178361411.2,85.8945469032,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Benchmark Electronics,1.2206311940601564e-07,United States,111898933.1,1543261597.9066677,23.445,3517995812.0,42.74276262564,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Selective Insurance,3.465446941984992e-08,United States,373159188.4,5429620105.284961,17.4582,5819025703.2,89.2543676154,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Cabot Corporation,3.1844224144071684e-08,United States,665890100.0,5902882806.927931,20.6003,5058719800.0,107.67008056256,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
RPM International,1.2259974286817294e-08,United States,1157710648.6,15264778548.616625,30.8869,9375217533.7,118.53837017072,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Linamar,6.726740672068912e-08,Canada,866435492.9,2780045919.957894,8.26138,9881642560.351,45.1465439195308,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
Northrop Grumman,2.4781089559958397e-09,United States,3371627800.0,75093583536.65237,17.2435,52100468400.0,513.47799093176,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Algoma Steel,1.7812625595920265e-07,Canada,-24270224.33,1043926781.0276632,12.4798,2474875629.3966,10.02589977742,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
Perella Weinberg Partners,1.1637980872546297e-07,United States,-260600755.7,1596573339.7819767,-175.091,927652648.6,18.5923713463464,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Reliance,1.2031548134434084e-08,United States,1875228320.0,15405125236.505404,12.0224,18210880040.0,280.01427518228,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Columbia Sportswear,3.919955884651168e-08,United States,375131296.7,4727653811.759456,17.9913,4327522624.3,80.74282181116,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
W&amp;T Offshore,6.243326491082156e-07,United States,-28171880.2,296688755.68910646,2.40698,713556839.5,2.0157950412124,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Select Medical Holdings,4.246488791348752e-08,United States,792140818.0,4340615429.752633,21.6688,8784409418.2,33.38395768528,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Silgan Holdings,3.4305887199522485e-08,United States,733357164.7,5348098241.35823,19.751,7466148960.0,50.08567513868,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Lincoln Electric,1.736790401352906e-08,United States,835386609.6,10533197630.381636,22.347,5233318484.8,185.85164774384,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Assurant,1.8216871700291072e-08,United States,1391211850.0,10035439377.721422,20.2995,14777647820.0,193.75939968096,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
EVI Industries,7.533790343740892e-07,United States,14861746.8,242231628.53425485,44.5682,451888870.3,19.09741570036,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Constellation Brands,3.959393200872322e-09,United States,3722082820.0,45971845246.36193,31.1701,12919929470.0,252.2543652109,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Equatorial Energia,2.7265309525438263e-08,Brazil,1900918130.0,6661888779.605936,20.0178,7395143355.3086,5.6585223959904,10.359,1.7,4.83,12.25,6.2,6.18,-4.83,-12.25,-6.2,0
Kelly Services,2.4851755223895304e-07,United States,59431650.0,730522704.9936471,528.0,5691123680.0,20.5484687036,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Nucor,5.216846418646066e-09,United States,6513146476.0,34759120577.49662,7.59383,41786866012.0,146.45409791426,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Sylvamo,5.3661351805886624e-08,United States,498459000.0,3372850942.233351,12.299,4727691900.0,82.26204508971999,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Utz Brands,1.267331647675795e-07,United States,51347667.5,1426216273.628785,1789.0,1823419258.4,17.28116479362,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Overseas Shipholding Group,3.0332975415594306e-07,United States,95672175.5,595558087.6089288,14.8947,582272963.7,8.26808053524,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Waste Management,2.240486854921569e-09,United States,4856780000.0,80498239391.06017,36.1178,26809425600.0,200.58616582372,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Houlihan Lokey,1.6863737428499734e-08,United States,529211364.1,10671891901.960829,37.8082,2571772370.4,153.53893724216002,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
NOV,2.9649645480543228e-08,United States,1074882100.0,6069474193.817675,12.5827,11373811900.0,15.41622083308,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Steel Dynamics,9.477263343156498e-09,United States,3432516484.0,18947504917.61604,8.0447,23193830237.7,122.79414307284,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Quest Diagnostics,1.0696776367342696e-08,United States,1426359600.0,16749470115.781103,22.8994,11945122600.0,150.46640554738,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Olympic Steel,4.237368828873679e-07,United States,83261824.5,421479906.0752806,11.1501,2644019529.1,37.860310121114,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Apollo Global Management,2.570190211831936e-09,United States,8268028900.0,69289276287.86917,107.071,34123991900.0,121.6595949193,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
eXp World Holdings,8.118610879676959e-08,United States,-27831905.6,2191072863.7739334,287.4,5669472666.0,14.25245684726,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
A. O. Smith,1.3827555864144226e-08,United States,961898060.0,12856095071.795387,45.6239,5021271470.0,88.14903529413999,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Coca-Cola Consolidated,1.6048316470523415e-08,United States,1134234507.8,11061543036.37123,26.9374,8602831029.3,1262.63036225552,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
FB Financial,8.515976862035153e-08,United States,184337806.8,2079964819.8864355,16.7927,589293567.0,44.59309867004,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Toromont,2.3041538487481256e-08,Canada,698150622.1,7685061598.478213,19.7147,4514938952.227,93.825671506144,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
GAMCO Investors,2.881035464903225e-07,United States,97135600.0,614252355.9873792,10.8333,315629351.2,25.320387976000003,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Sound Financial Bancorp,1.380820132307858e-06,United States,6047969.2,128135802.23825444,23.4615,44808907.9,53.51366612619999,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Donaldson,2.0460339115769712e-08,United States,655920920.0,8631342247.10314,25.0237,4512204240.0,71.68591380436,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Deere & Company,1.592834378771723e-09,United States,17918962000.0,110570756286.54594,12.2977,70101228800.0,404.13286931848,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Carriage Services,3.620986998437588e-07,United States,55676592.2,486113897.0561094,15.6286,505027155.9,31.963094375396,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Byline Bancorp,1.5617566233943313e-07,United States,202936718.0,1126204485.8034852,9.79775,515136926.9,25.490813664300003,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Masco,9.953561202584513e-09,United States,1577175400.0,17669863008.8628,22.5839,10068871800.0,80.96194055325999,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Liberty Energy,5.784013120994698e-08,United States,724681421.9,3026995322.06266,5.39205,5781960803.2,18.3085882288,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Cardinal Health,6.721002998984068e-09,United States,1600181200.0,26033217635.29164,108.703,289907588700.0,107.59217167648,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Amalgamated Financial,1.8885230861360642e-07,United States,179795439.4,924971691.8070784,10.4169,382416466.7,30.18482405062,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Flexsteel Industries,7.830657285605534e-07,United States,19874455.0,222772248.1491672,14.9524,527538331.2,42.810932900960005,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Primo Water,4.442495160438655e-08,United States,134200500.0,3915837983.3287873,33.7568,2005338900.0,24.33678828924,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Marten Transport,1.244358685430185e-07,United States,59549235.2,1397431620.2878802,17.1262,1333914627.0,17.1643014645,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Graphic Packaging,2.008641740818497e-08,United States,1503045600.0,8627791097.748556,13.2883,11623041400.0,28.74837896352,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Forward Air,1.7952361873215345e-07,United States,-1620247370.0,964521732.6993828,8.64146,2207235244.6,34.82040277238,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
General Dynamics,2.15641651045456e-09,United States,5975117500.0,80176986524.53499,24.8658,57445482600.0,291.78825559112,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
CCL Industries,1.6540235641857483e-08,Canada,956555602.0,10439548253.050688,22.7733,6554080707.4429,58.3072051144872,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
Otis Worldwide,4.236594342532982e-09,United States,2822044800.0,40732666370.13561,31.2665,18124736100.0,101.69057355592,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Ritchie Bros. Auctioneers,1.2179086065925958e-08,Canada,945282760.0,14117768276.640184,84.5053,5395499150.0,76.3994014122,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
The Eastern Company,8.6282643371605e-07,United States,24271374.62,198831190.2558819,29.2679,349819388.9175,31.92316607128,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Immersion Corporation,6.13655063975058e-07,United States,98531285.2,279253120.9470556,6.83206,208500287.3,8.6771995732676,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Diamondrock Hospitality Company,9.568186022393729e-08,United States,91641048.1,1790988295.9939425,22.375,1413284637.0,8.5943239957,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Fox Corporation,9.484570581452648e-09,United States,2689122400.0,18041498118.493843,18.9463,17867838000.0,37.75659391652,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Westlake Chemical,9.123487379409115e-09,United States,593038400.0,18667276252.76007,15.9501,15494406300.0,145.17347059931998,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
CSX Corporation,2.609360987415376e-09,United States,6041578700.0,65251472878.28903,18.3403,18703715400.0,33.65663878656,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
UnitedHealth,3.2600474913229904e-10,United States,25839347700.0,521519931389.10815,24.9415,487282015500.0,565.1023665705201,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Caterpillar,9.22573777724532e-10,United States,18316451100.0,184204852341.6222,22.0327,84824940800.0,379.562354371,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
SEI Investments,1.9394562861070512e-08,United States,834128959.2,8751113011.197401,20.4366,2546207814.2,67.37170923768001,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
WD-40 Company,4.9907221081369935e-08,United States,116236804.5,3400688223.5195227,53.1031,734930505.8,251.00295372824,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Texas Roadhouse,1.4854970047662152e-08,United States,560151608.9,11412754798.969204,40.0229,6324718749.2,171.16582271776,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Hess,4.199984970966335e-09,United States,5771899600.0,39903642026.94746,25.7249,15748748200.0,129.50891519185998,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Thor Industries,2.9585466347460048e-08,United States,445857516.4,5656858760.800576,10.4933,12836479764.8,106.87151448024,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
George Weston,7.834904368601003e-09,Canada,2936971552.0,21323079062.652416,18.5126,57591499080.8198,161.361963265668,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
